	sw480_APC_1	sw480_APC_2	sw480_APC_3	sw480_CONTROL_1	sw480_CONTROL_2	sw480_CONTROL_3	sw480-1	sw480-2	sw480-3	cds_length	gene_name
NM_001171135_2	361	285	336	363	329	369	329	336	358	4588	ZBED1
NM_001171136	382	343	329	323	280	362	344	390	368	4510	ZBED1
NM_001171136_2	380	302	348	367	338	381	340	346	368	4510	ZBED1
NM_001171137	1458	1459	1538	1433	1257	1536	1246	1291	1253	6400	STRBP
NM_001171155	309	342	326	382	330	414	357	422	385	339	PET100
NM_001171156	1	6	3	24	9	5	16	24	10	3220	SIGLEC10
NM_001171157	1	6	2	24	8	5	15	23	10	3109	SIGLEC10
NM_001171158	1	6	2	23	8	5	15	23	9	2965	SIGLEC10
NM_001171159	1	6	2	23	8	5	15	23	9	2935	SIGLEC10
NM_001171160	1	6	2	23	8	5	15	23	9	2860	SIGLEC10
NM_001171161	0	4	2	21	8	5	13	20	8	2665	SIGLEC10
NM_001171162	891	801	839	1343	1090	1258	1746	1916	1638	6118	ZMYM3
NM_001171163	343	322	350	429	335	387	552	527	534	1914	ZMYM3
NM_001171166	513	414	460	748	639	797	794	780	785	4394	CAMTA2
NM_001171167	534	432	470	759	650	812	819	806	801	4852	CAMTA2
NM_001171168	526	429	462	754	644	806	809	795	794	4782	CAMTA2
NM_001171170	10	4	8	2	2	2	9	13	6	1770	SLC25A21
NM_001171182	466	382	416	466	382	459	426	428	453	2147	CENPL
NM_001171183	0	0	0	0	0	2	1	1	0	704	EFCAB9
NM_001171184	14	15	20	36	44	50	25	41	22	6835	DRP2
NM_001171191	4	5	2	2	1	1	3	2	2	2068	GDPD2
NM_001171192	4	5	2	2	1	1	3	2	2	2439	GDPD2
NM_001171193	4	5	2	2	1	1	3	2	2	2172	GDPD2
NM_001171195	32	38	32	0	0	1	83	95	79	3749	ELAVL2
NM_001171197	32	37	32	0	0	1	83	96	80	3762	ELAVL2
NM_001171201	1349	1159	1209	1138	945	1198	1080	1116	1121	2702	UBAP1
NM_001171202	1312	1139	1188	1119	922	1187	1063	1097	1099	2618	UBAP1
NM_001171203	1359	1170	1222	1148	954	1208	1095	1128	1129	2898	UBAP1
NM_001171204	1360	1171	1221	1148	956	1210	1095	1132	1131	2866	UBAP1
NM_001171251	187	140	192	195	170	197	196	220	209	2722	C17orf53
NM_001171506	4635	4626	4386	7352	6132	7255	4568	4857	5030	4280	MCFD2
NM_001171507	4534	4535	4311	7249	6051	7147	4497	4808	4957	4172	MCFD2
NM_001171508	4600	4580	4349	7279	6084	7181	4541	4831	4990	4324	MCFD2
NM_001171509	4382	4369	4170	7075	5898	6944	4345	4664	4823	4031	MCFD2
NM_001171510	4283	4282	4099	6975	5823	6839	4274	4617	4755	4017	MCFD2
NM_001171511	4349	4327	4137	7005	5856	6873	4318	4640	4788	4169	MCFD2
NM_001171603	1686	1675	1647	1792	1478	1729	1446	1579	1454	6305	PREPL
NM_001171606	1728	1715	1679	1832	1508	1762	1471	1617	1484	6436	PREPL
NM_001171610	2	1	0	5	10	5	6	5	6	5435	LDB3
NM_001171611	1	1	0	0	0	0	1	1	1	1899	LDB3
NM_001171613	1669	1663	1617	1784	1479	1723	1438	1576	1438	5894	PREPL
NM_001171617	1652	1642	1605	1764	1459	1700	1429	1551	1429	6051	PREPL
NM_001171622	613	583	563	286	254	347	153	183	157	3376	VEGFA
NM_001171623	639	611	592	308	271	372	161	190	164	3661	VEGFA
NM_001171624	638	611	591	308	271	372	161	190	164	3610	VEGFA
NM_001171625	638	611	591	307	271	372	161	190	164	3592	VEGFA
NM_001171626	635	611	587	306	271	372	161	190	164	3538	VEGFA
NM_001171627	632	607	582	302	267	365	161	188	163	3503	VEGFA
NM_001171628	625	591	566	292	260	355	159	184	161	3406	VEGFA
NM_001171629	584	572	536	279	254	340	147	181	149	3472	VEGFA
NM_001171630	613	583	563	286	254	347	153	183	157	3376	VEGFA
NM_001171631	21	19	21	60	61	70	58	53	85	2819	NOSTRIN
NM_001171632	20	19	19	57	59	64	57	52	79	1863	NOSTRIN
NM_001171637	8	8	7	11	5	9	11	10	12	1447	CCDC148
NM_001171654	1599	1644	1569	2575	2150	2665	2976	2897	2942	7180	KLHL5
NM_001171660	1727	1562	1594	1732	1558	1789	1937	1720	1766	3063	CYB5R3
NM_001171661	1729	1563	1596	1731	1561	1787	1937	1720	1767	2983	CYB5R3
NM_001171689	1101	1084	1050	824	686	814	730	643	660	5604	AMMECR1
NM_001171690	70	66	55	175	130	152	158	150	132	1656	GCAT
NM_001171713	72	58	57	44	37	40	62	90	65	2793	FBXL2
NM_001171740	37	29	35	106	87	77	170	180	173	2613	C3orf18
NM_001171741	40	31	36	104	86	79	163	173	171	2408	C3orf18
NM_001171743	33	28	33	100	81	71	153	164	157	2392	C3orf18
NM_001171747	199	187	172	258	241	269	207	226	222	2054	C3orf52
NM_001171795	38	53	37	88	62	93	144	166	142	3668	TRIQK
NM_001171796	38	55	38	88	62	93	145	167	144	3826	TRIQK
NM_001171797	38	53	37	88	62	93	144	166	142	3671	TRIQK
NM_001171798	31	53	34	80	60	88	130	158	138	3667	TRIQK
NM_001171799	31	51	33	80	60	88	129	157	136	3512	TRIQK
NM_001171805	1292	1092	1198	798	732	877	877	906	933	3858	PAPD7
NM_001171806	1179	1010	1101	742	669	801	799	838	865	3463	PAPD7
NM_001171811	371	413	407	531	491	597	563	600	547	2400	GBA
NM_001171812	374	415	411	536	480	601	573	593	561	2174	GBA
NM_001171814	3640	3566	3400	2353	2096	2532	2226	2209	2155	1864	OAT
NM_001171815	275	227	233	239	207	220	333	225	279	1611	RNF166
NM_001171816	322	265	296	309	254	287	410	301	347	2460	RNF166
NM_001171818	617	598	577	2984	2653	2894	2491	2488	2441	3843	PPARD
NM_001171819	587	561	545	2804	2494	2727	2379	2357	2308	3516	PPARD
NM_001171820	572	551	525	2710	2403	2627	2279	2287	2233	3453	PPARD
NM_001171864	1	3	2	0	0	0	0	0	0	1678	TUBAL3
NM_001171868	123	122	114	127	139	165	134	152	159	2562	TMEM200B
NM_001171876	1	1	1	1	5	1	6	3	1	3867	MCF2
NM_001171877	1	1	0	1	4	1	4	2	0	3461	MCF2
NM_001171878	1	1	0	1	4	1	4	2	0	3578	MCF2
NM_001171879	1	1	0	1	4	1	5	3	1	3849	MCF2
NM_001171887	1186	1152	1187	1267	1066	1285	1251	1254	1177	2916	FGFR1OP2
NM_001171888	531	506	467	526	438	482	503	472	466	981	FGFR1OP2
NM_001171894	502	496	480	643	533	622	603	592	565	5756	MEF2A
NM_001171904	1019	980	937	1135	1030	1210	1439	1490	1561	5792	VPRBP
NM_001171905	528	463	446	664	542	640	567	563	535	5943	NUDT16
NM_001171906	82	72	73	86	69	91	102	60	66	930	NUDT16
NM_001171907	271	310	282	372	347	361	290	327	336	1880	CXorf40A
NM_001171908	259	297	277	365	332	348	282	319	323	1829	CXorf40A
NM_001171909	214	217	201	282	248	256	235	260	246	2085	CXorf40A
NM_001171930	39	36	36	315	254	334	233	238	264	4843	CDH23
NM_001171931	39	37	38	320	256	340	239	241	263	3954	CDH23
NM_001171932	29	24	21	184	145	211	148	138	174	1736	CDH23
NM_001171933	1	0	0	1	5	9	3	6	9	4331	CDH23
NM_001171934	1	0	0	1	5	8	3	6	9	4226	CDH23
NM_001171937	66	53	48	60	42	45	74	48	60	1637	FUZ
NM_001171940	1	6	1	7	5	8	15	13	11	2083	FNDC5
NM_001171941	3	7	2	10	8	12	19	18	15	3019	FNDC5
NM_001171942	0	1	0	0	0	1	0	0	3	3184	GLRA2
NM_001171944	3450	3118	3075	3368	3015	3508	3492	3490	3431	3717	SUN1
NM_001171945	605	484	505	475	433	537	564	495	486	1309	SUN1
NM_001171946	603	482	504	475	432	537	562	493	486	1077	SUN1
NM_001171948	1481	1304	1282	1383	1271	1461	1354	1342	1339	1592	KXD1
NM_001171949	1476	1302	1279	1380	1266	1458	1350	1340	1337	1496	KXD1
NM_001171967	236	232	201	232	226	256	241	215	271	5594	RBFA
NM_001171968	4	1	4	1	5	2	7	0	2	3471	CDHR5
NM_001171976	2	2	2	0	0	8	5	3	2	4303	CDHR2
NM_001171979	0	1	2	0	1	2	0	0	2	4977	ZNF829
NM_001171988	56	53	56	76	57	57	99	97	94	2072	AGA
NM_001171990	135	142	123	115	113	149	113	109	128	1398	SETD9
NM_001171991	1288	1228	1110	1258	1135	1261	1146	1095	1180	2261	HCCS
NM_001171992	183	162	165	95	39	54	63	76	42	3623	C6orf223
NM_001171993	0	1	2	3	5	1	0	2	6	1899	HPD
NM_001172	713	670	693	1750	1380	1714	1291	1576	1405	1980	ARG2
NM_001172085	294	236	228	294	259	324	287	296	316	1702	TBP
NM_001172086	294	307	256	267	247	300	339	362	336	4385	PEX2
NM_001172087	261	280	231	243	224	274	298	321	305	4243	PEX2
NM_001172105	44	57	50	28	28	28	19	22	17	3488	GRAMD1C
NM_001172109	30	36	35	32	39	42	40	39	38	1834	SENP8
NM_001172110	30	36	35	32	39	42	40	39	38	1676	SENP8
NM_001172111	31	36	34	34	39	43	40	39	39	1693	SENP8
NM_001172128	5	6	3	75	41	59	51	72	64	8322	IL16
NM_001172173	5	3	1	0	0	0	0	0	0	11788	CSRNP3
NM_001172218	551	464	488	636	503	549	496	544	599	3353	SCMH1
NM_001172219	537	449	467	612	483	538	481	527	579	3144	SCMH1
NM_001172220	531	444	462	608	479	532	470	520	570	3073	SCMH1
NM_001172221	515	416	441	581	468	520	462	509	557	3234	SCMH1
NM_001172222	435	358	392	499	401	451	407	442	481	2641	SCMH1
NM_001172223	387	361	366	334	323	386	360	385	389	1686	MOB2
NM_001172225	6	7	8	7	9	5	4	7	3	3236	ZNF540
NM_001172226	6	7	7	6	9	5	4	6	3	3140	ZNF540
NM_001172292	34	38	37	194	171	203	78	102	112	3222	NIPAL4
NM_001172303	760	724	677	741	622	751	706	733	780	3626	MASTL
NM_001172304	713	688	639	703	594	712	658	697	749	3509	MASTL
NM_001172309	52	53	48	22	8	14	13	22	22	3197	NEXN
NM_001172312	1772	1657	1633	1257	1026	1273	1073	1069	1057	3866	PLS1
NM_001172335	3860	3801	3573	3676	3144	3781	2286	2488	2420	3244	PLS3
NM_001172411	1459	1409	1287	1434	1213	1412	1255	1293	1285	8685	VANGL1
NM_001172412	1460	1413	1290	1436	1213	1416	1259	1298	1289	8635	VANGL1
NM_001172415	660	725	634	602	544	658	603	634	629	3872	BAG1
NM_001172416	1	0	1	1	0	1	0	1	0	3373	KCNJ13
NM_001172417	1	0	0	1	0	0	0	1	0	3376	KCNJ13
NM_001172418	142	137	150	224	218	243	290	318	303	8621	BTBD9
NM_001172420	387	346	366	313	269	297	292	299	309	5494	EFHC1
NM_001172425	0	0	0	0	1	0	0	0	0	2085	LEFTY2
NM_001172428	407	363	387	461	403	486	365	418	412	1025	KLHL7
NM_001172430	395	348	378	484	427	500	626	684	662	4298	AMPD3
NM_001172431	377	320	355	455	405	484	601	643	626	3994	AMPD3
NM_001172432	343	316	342	366	356	380	385	360	397	2351	PHKG2
NM_001172435	1872	1923	1821	2052	1759	2001	1734	1811	1754	4938	RAB3GAP1
NM_001172436	944	942	873	1005	896	1036	722	662	661	5945	PHKA1
NM_001172439	2	5	3	9	7	7	21	9	8	2459	ENDOU
NM_001172440	2	5	3	9	7	7	21	9	8	2270	ENDOU
NM_001172477	769	732	715	1500	1261	1571	1834	1749	1669	4913	RRM2B
NM_001172478	747	717	693	1456	1224	1538	1794	1711	1635	4776	RRM2B
NM_001172501	2	1	3	2	0	0	0	0	0	3887	SLC6A2
NM_001172502	2	1	3	0	0	0	0	0	0	3157	SLC6A2
NM_001172504	2	1	3	2	0	0	0	0	0	2858	SLC6A2
NM_001172509	458	376	380	649	540	649	657	657	680	5730	SATB2
NM_001172517	415	334	343	614	498	597	611	611	624	5326	SATB2
NM_001172557	514	474	458	453	461	539	489	479	459	3784	GOLGA3
NM_001172560	11	5	9	9	14	8	6	1	8	2657	SSTR5
NM_001172562	430	409	369	386	347	393	390	409	427	2530	INTS9
NM_001172566	778	718	697	692	610	686	878	865	826	2533	MYD88
NM_001172567	853	777	770	766	672	749	963	946	918	2873	MYD88
NM_001172568	822	755	746	745	653	728	934	918	887	2714	MYD88
NM_001172569	809	739	721	713	629	707	907	893	857	2668	MYD88
NM_001172574	172	181	185	201	189	220	196	179	209	3773	MCPH1
NM_001172575	164	172	173	196	174	205	189	166	201	3629	MCPH1
NM_001172623	799	725	740	945	801	939	965	1012	989	6929	NEO1
NM_001172624	818	747	764	982	828	966	988	1055	1021	7055	NEO1
NM_001172630	249	219	197	332	280	280	397	431	397	4219	ARHGAP33
NM_001172631	256	253	246	333	274	337	323	373	347	4397	TECPR2
NM_001172632	5	15	6	160	124	157	116	122	109	2376	OLR1
NM_001172633	6	15	8	164	133	165	122	126	114	2400	OLR1
NM_001172638	445	433	481	597	466	538	488	556	535	3951	ZFP62
NM_001172639	2559	2380	2567	2562	2275	2585	2559	2785	2764	7425	CELF1
NM_001172640	2912	2668	2895	2825	2503	2838	2785	3059	2951	7673	CELF1
NM_001172643	226	193	209	219	216	242	328	343	303	4678	TK2
NM_001172644	221	189	206	213	207	243	317	342	309	5039	TK2
NM_001172645	226	192	206	217	216	238	325	342	310	5060	TK2
NM_001172646	756	712	770	549	411	562	657	724	641	5621	PLCB4
NM_001172648	0	2	0	0	1	0	0	3	1	5352	CELF3
NM_001172649	0	2	0	0	1	0	0	3	1	5035	CELF3
NM_001172650	35	34	35	32	35	29	40	41	37	2550	ZNF559-ZNF177
NM_001172651	29	21	28	21	26	20	30	31	29	2447	ZNF177
NM_001172654	0	2	1	0	0	1	0	0	1	1367	LILRA3
NM_001172655	120	123	127	129	144	146	115	141	139	5538	ZNF701
NM_001172656	287	228	257	83	75	86	48	45	44	4022	ZFYVE28
NM_001172657	102	83	91	24	20	29	20	16	12	1817	ZFYVE28
NM_001172658	64	55	68	23	19	23	12	10	14	1354	ZFYVE28
NM_001172659	286	234	261	81	73	87	52	44	41	4145	ZFYVE28
NM_001172660	89	81	93	23	20	28	19	13	11	1618	ZFYVE28
NM_001172663	310	268	254	245	229	245	275	238	262	2719	RAB40C
NM_001172664	310	267	254	244	229	244	272	238	262	2611	RAB40C
NM_001172665	310	267	254	244	229	244	272	238	262	2571	RAB40C
NM_001172666	291	250	237	220	216	220	257	229	242	2514	RAB40C
NM_001172667	1	1	1	2	5	3	8	8	2	886	FAM178B
NM_001172668	185	169	157	147	116	172	170	169	164	2865	ZNF668
NM_001172669	184	169	154	146	115	169	165	169	165	2510	ZNF668
NM_001172670	184	169	154	146	115	168	165	168	164	2396	ZNF668
NM_001172671	184	195	154	265	202	275	176	210	177	3916	ZNF430
NM_001172672	226	236	231	347	286	385	338	321	299	2559	PNPLA4
NM_001172673	27	26	28	33	31	40	35	31	35	5007	CELF5
NM_001172674	6	5	5	0	3	3	7	3	4	4554	ZNF347
NM_001172675	0	0	0	0	0	0	0	0	0	4234	ZNF347
NM_001172677	239	222	210	303	273	301	286	314	323	4013	ZNF607
NM_001172679	130	123	94	104	122	114	139	125	135	2793	ZNF764
NM_001172681	188	159	202	251	208	232	332	319	307	4369	ZNF641
NM_001172682	186	155	193	242	206	227	326	315	297	4275	ZNF641
NM_001172684	0	1	0	8	3	13	7	2	2	3081	CELF6
NM_001172685	0	1	0	7	3	12	6	3	2	2854	CELF6
NM_001172687	864	770	816	850	739	857	927	994	932	3148	GGA1
NM_001172688	871	776	813	854	741	862	932	997	935	3206	GGA1
NM_001172689	48	49	53	39	39	37	44	41	31	2448	ZNF573
NM_001172690	46	49	49	37	37	36	42	39	30	2257	ZNF573
NM_001172691	46	49	49	37	37	35	41	39	30	2251	ZNF573
NM_001172692	41	43	42	32	29	30	33	34	26	2124	ZNF573
NM_001172695	678	655	652	1069	905	1126	826	837	799	1951	TSFM
NM_001172696	742	722	717	1191	1032	1248	895	925	888	2102	TSFM
NM_001172697	365	341	326	561	506	588	427	455	414	930	TSFM
NM_001172698	351	327	339	292	202	289	166	185	201	10510	PPARGC1B
NM_001172699	349	325	339	291	201	288	166	185	201	10541	PPARGC1B
NM_001172700	458	344	320	595	480	585	754	687	613	4019	SHROOM1
NM_001172702	125	134	129	271	230	269	191	162	170	1751	SLC38A6
NM_001172703	774	723	793	638	611	630	681	729	710	3880	GGA3
NM_001172704	597	559	609	469	450	486	528	550	524	2938	GGA3
NM_001172705	23108	22467	21633	34006	29047	34770	29856	31745	32578	4028	EIF4G2
NM_001172712	2509	2521	2462	2750	2314	2918	2752	2906	2794	6350	SP3
NM_001172713	1923	2091	1971	2377	1985	2461	2153	2516	2569	7868	GOLGA4
NM_001172732	7	7	4	204	161	185	195	214	167	2076	RAI2
NM_001172735	0	0	0	0	2	1	3	1	0	6125	PPP1R16B
NM_001172739	8	9	7	218	178	219	223	230	186	2420	RAI2
NM_001172743	8	9	7	218	178	219	223	230	186	2423	RAI2
NM_001172745	1529	1486	1475	927	811	926	1320	1243	1315	3328	SEC23B
NM_001172746	1442	1430	1408	879	764	882	1265	1194	1258	3364	SEC23B
NM_001172771	12	3	11	5	2	5	0	2	2	1776	IL34
NM_001172772	12	3	11	5	2	6	0	2	2	1762	IL34
NM_001172773	67	65	92	55	48	64	82	56	59	4550	ZNF548
NM_001172774	602	561	546	894	746	902	766	832	820	6002	DPY19L3
NM_001172775	78	63	72	71	56	87	64	85	77	8544	ZNF555
NM_001172779	260	260	242	180	126	187	174	158	150	1840	LRRC34
NM_001172780	270	293	260	197	144	192	182	175	171	1875	LRRC34
NM_001172818	1520	1488	1507	1103	943	1150	758	766	795	2558	PGM1
NM_001172819	1523	1492	1512	1103	943	1151	758	766	797	2349	PGM1
NM_001172828	1844	1725	1719	2006	1769	2056	1837	1806	1888	2719	YTHDF2
NM_001172831	5	1	0	1	2	0	0	0	0	3323	ZNF300
NM_001172832	5	1	0	1	2	0	0	0	0	3226	ZNF300
NM_001172895	1934	1983	1908	516	469	505	536	549	592	3202	CAV1
NM_001172896	1953	1999	1920	520	477	515	552	561	595	2637	CAV1
NM_001172897	1920	1966	1896	514	464	505	531	548	588	2436	CAV1
NM_001173	1532	1418	1519	2098	1741	2160	1907	1925	1886	9601	ARHGAP5
NM_001173128	1794	1701	1705	1981	1749	2036	1806	1790	1867	2826	YTHDF2
NM_001173408	1047	902	922	1849	1731	1908	3110	2899	2652	3560	OBSL1
NM_001173425	114	82	120	70	64	45	52	40	34	4050	DFNB31
NM_001173431	1038	862	903	1921	1832	1999	3138	2939	2722	5793	OBSL1
NM_001173452	778	770	792	1114	997	1163	989	930	949	3712	TFCP2
NM_001173453	718	714	736	1045	924	1081	948	862	890	3559	TFCP2
NM_001173454	4375	3989	3958	4647	4116	5101	4204	4228	4433	3486	PDHA1
NM_001173455	4370	3984	3951	4643	4105	5095	4198	4221	4432	3393	PDHA1
NM_001173456	4176	3835	3797	4468	3953	4898	4024	4063	4291	3279	PDHA1
NM_001173463	396	341	341	633	491	636	508	543	528	6530	KIF21A
NM_001173464	396	341	341	635	491	636	511	545	528	6641	KIF21A
NM_001173465	390	333	340	630	485	631	504	541	521	6482	KIF21A
NM_001173466	856	782	809	1540	1368	1553	1254	1231	1257	1738	AAAS
NM_001173468	1280	1232	1169	1233	971	1237	1625	1631	1570	1473	PDHB
NM_001173473	343	308	336	233	242	292	233	223	221	2048	ASMTL
NM_001173473_2	348	333	363	249	247	262	231	228	214	2048	ASMTL
NM_001173474	356	318	352	237	261	307	245	229	227	2085	ASMTL
NM_001173474_2	369	358	372	254	255	266	237	234	224	2085	ASMTL
NM_001173476	22	19	14	40	22	40	80	76	60	1432	SPEG
NM_001173479	206	205	184	338	309	314	337	330	293	4853	ARHGEF9
NM_001173480	254	251	231	405	369	377	389	396	363	5259	ARHGEF9
NM_001173482	213	208	185	249	202	246	403	418	432	2588	CRBN
NM_001173484	894	877	938	2413	2011	2456	3366	3603	3432	6938	NEBL
NM_001173486	29	24	23	15	12	19	11	10	16	1767	PRRG1
NM_001173487	711	740	751	729	640	757	671	679	729	3355	NKRF
NM_001173488	683	712	735	712	625	745	658	669	708	3741	NKRF
NM_001173489	379	345	323	230	197	258	215	225	211	4603	PRRG1
NM_001173490	379	345	323	230	197	258	214	225	211	4512	PRRG1
NM_001173498	695	609	585	642	578	632	772	683	609	3221	MAN2B1
NM_001173512	1003	950	896	932	907	1120	809	883	907	1843	MRRF
NM_001173513	219	208	223	296	272	341	266	288	232	2811	TXNRD3
NM_001173516	1058	1025	995	959	878	1023	893	794	876	4451	MAP7D3
NM_001173517	877	890	852	845	742	859	741	665	712	4573	MAP7D3
NM_001173523	0	1	2	8	7	3	9	4	10	8728	PCDH7
NM_001173524	398	411	386	302	263	296	325	327	318	3247	TROVE2
NM_001173525	258	231	223	160	151	137	175	197	170	2091	TROVE2
NM_001173531	0	0	0	0	0	0	0	0	0	1246	POU5F1
NM_001173531_4	0	0	0	0	0	0	0	0	0	1247	POU5F1
NM_001173531_5	0	0	0	0	0	0	0	0	0	1246	POU5F1
NM_001173531_6	0	0	0	0	0	0	0	0	0	1246	POU5F1
NM_001173531_7	0	0	0	0	0	0	0	0	0	1246	POU5F1
NM_001173533	1331	1258	1170	1141	970	1192	1332	1173	1191	4361	DGCR2
NM_001173534	1330	1255	1168	1141	970	1188	1330	1173	1188	4352	DGCR2
NM_001173539	219	196	177	157	157	191	203	210	215	2327	BANP
NM_001173540	220	192	172	155	155	188	195	212	218	2303	BANP
NM_001173541	211	186	166	150	149	182	192	202	206	2210	BANP
NM_001173542	227	198	181	160	160	193	205	216	221	2375	BANP
NM_001173543	210	189	176	152	152	187	190	195	207	2438	BANP
NM_001173975	108	90	88	164	109	149	170	163	145	1990	TCTN1
NM_001173976	99	84	80	157	101	132	152	155	132	1953	TCTN1
NM_001173977	518	437	448	182	153	186	182	194	168	5413	LRRC16A
NM_001173978	11	14	10	16	13	10	20	12	14	632	C14orf178
NM_001173982	1708	1607	1566	3383	2849	3392	2746	2776	2779	5753	CHST11
NM_001173984	1412	1480	1396	1808	1471	1780	1724	1854	1812	2312	BRD7
NM_001173988	7219	6367	6059	3833	3618	4142	3847	3583	3774	3133	RABL6
NM_001173989	2131	2003	1796	1167	1030	1207	1149	1120	1139	1737	RABL6
NM_001173990	377	344	355	365	382	409	311	355	366	1297	TMEM216
NM_001173991	426	392	400	414	422	464	348	385	406	1306	TMEM216
NM_001174051	8	7	8	31	20	24	67	60	68	5357	CACNA2D2
NM_001174060	367	370	343	449	415	508	633	708	703	4021	OSBPL10
NM_001174061	2452	2284	2231	2219	1855	2287	2078	2172	2125	6044	SMG7
NM_001174063	1139	1052	1020	2198	1873	2114	1915	1934	1856	5895	FGFR1
NM_001174064	1139	1052	1020	2198	1873	2115	1916	1934	1856	5963	FGFR1
NM_001174065	1048	1000	974	2139	1804	2046	1719	1858	1792	5215	FGFR1
NM_001174066	1028	977	948	2074	1749	2001	1669	1802	1742	4954	FGFR1
NM_001174067	1049	1000	974	2139	1804	2046	1719	1860	1792	5375	FGFR1
NM_001174068	105	112	97	109	92	115	168	162	156	3739	SYTL4
NM_001174070	59	67	62	76	67	77	99	71	77	2802	FAM53A
NM_001174071	229	216	235	140	136	151	113	105	95	1925	SERINC5
NM_001174072	1000	949	982	721	605	719	492	527	484	6479	SERINC5
NM_001174080	1	0	0	2	0	0	0	5	1	8627	CACNA1A
NM_001174081	0	0	0	0	0	0	0	0	0	3544	NLRP2
NM_001174082	0	0	0	0	0	0	0	0	0	3509	NLRP2
NM_001174083	0	0	0	0	0	0	0	0	0	3506	NLRP2
NM_001174084	485	441	407	309	304	340	281	291	297	2794	POLL
NM_001174085	436	399	365	276	272	302	256	233	258	2455	POLL
NM_001174087	1244	1238	1233	809	682	845	1093	1179	1125	7993	NCOA3
NM_001174088	1239	1217	1217	795	667	838	1077	1165	1119	7969	NCOA3
NM_001174089	125	102	126	162	184	211	304	352	288	3102	SLC4A11
NM_001174090	128	101	130	163	184	210	307	353	286	3252	SLC4A11
NM_001174092	496	407	450	394	410	476	488	471	478	2555	TMEM185A
NM_001174093	139	160	120	733	720	848	809	794	803	5928	ZEB1
NM_001174094	139	162	120	737	725	848	812	797	807	6265	ZEB1
NM_001174095	134	161	117	729	709	832	799	776	793	5787	ZEB1
NM_001174096	141	163	121	741	729	853	818	801	813	5991	ZEB1
NM_001174097	17502	17573	16888	19725	17455	21142	13285	15038	15564	1539	LDHB
NM_001174098	91	91	98	204	183	198	173	167	164	2273	SLC29A3
NM_001174100	481	401	384	608	515	644	995	983	913	2172	PCBP4
NM_001174101	381	305	240	203	216	211	427	260	254	1395	PRR7
NM_001174102	381	303	239	200	216	212	424	259	252	1308	PRR7
NM_001174103	126	110	138	174	131	160	196	217	251	3779	SGK494
NM_001174104	20	27	25	14	9	12	22	24	26	1648	CD14
NM_001174105	20	25	25	13	9	12	22	20	26	1527	CD14
NM_001174108	105	96	113	204	106	196	165	161	152	2940	ZBED6
NM_001174116	696	657	630	862	677	850	682	840	753	10599	DMXL2
NM_001174117	574	549	519	724	562	729	578	727	648	8688	DMXL2
NM_001174118	401	351	353	357	310	338	568	446	407	2663	MEX3D
NM_001174119	744	644	728	771	691	715	721	744	777	2928	ZFYVE27
NM_001174120	712	614	696	743	659	690	674	710	748	2766	ZFYVE27
NM_001174121	701	611	713	735	654	669	688	708	735	2770	ZFYVE27
NM_001174122	686	600	678	723	642	675	657	692	733	2670	ZFYVE27
NM_001174124	857	862	827	1156	1028	1162	1065	1138	1071	1909	GOLGA7
NM_001174125	821	806	734	812	648	849	621	641	646	4156	SLC11A2
NM_001174126	553	503	462	549	439	579	496	545	524	3795	SLC11A2
NM_001174127	547	500	454	543	436	573	494	541	522	3790	SLC11A2
NM_001174128	824	812	739	813	653	855	625	647	651	4159	SLC11A2
NM_001174129	825	809	735	812	648	851	624	641	648	4424	SLC11A2
NM_001174130	804	792	715	801	636	828	607	619	631	4139	SLC11A2
NM_001174136	2	8	5	8	6	6	14	14	10	1773	TDGF1
NM_001174146	84	57	55	97	104	107	101	116	95	5809	LMX1B
NM_001174147	84	58	55	98	104	107	101	116	95	5797	LMX1B
NM_001174150	179	182	174	229	180	204	328	318	325	3987	ARL13B
NM_001174151	171	179	171	226	177	201	318	314	316	3916	ARL13B
NM_001174152	1403	1326	1268	1196	1045	1193	896	966	992	1467	RABEPK
NM_001174153	1265	1183	1115	1046	940	1063	794	880	894	1314	RABEPK
NM_001174156	666	674	633	682	504	720	638	662	595	6782	SAMD8
NM_001174157	225	170	181	158	164	187	179	184	208	4426	ZFAT
NM_001174158	204	171	183	154	158	189	172	181	196	4277	ZFAT
NM_001174159	1399	1324	1271	1219	1110	1228	1147	1049	1226	3249	SH2D4A
NM_001174160	1187	1157	1109	1043	946	1070	1000	901	1061	3014	SH2D4A
NM_001174164	10	7	12	57	46	64	70	74	50	3545	PRRT4
NM_001174166	492	466	468	1095	851	1075	680	661	755	3955	SLC16A6
NM_001174167	1766	1725	1744	12556	10698	12947	4439	4582	4627	5066	SYK
NM_001174168	1740	1712	1732	12422	10579	12801	4392	4546	4574	4921	SYK
NM_001175	197	187	184	4	4	3	3	1	2	1216	ARHGDIB
NM_001176	2	1	1	2	4	7	20	8	7	942	ARHGDIG
NM_001177	878	865	823	1071	906	1036	949	997	958	3210	ARL1
NM_001177304	5	4	6	1	0	1	0	1	1	3007	PLSCR4
NM_001177306	1527	1507	1520	3404	2610	3178	4215	4507	4278	5334	PAM
NM_001177310	4	6	14	3	5	7	6	3	6	8244	TRPM6
NM_001177311	4	6	14	3	5	7	6	4	6	8271	TRPM6
NM_001177314	1015	980	1002	764	660	786	534	600	564	2040	RRAS2
NM_001177315	1023	988	1006	764	662	789	535	602	564	2172	RRAS2
